R1009,M1000,ISBN1003,2026-06-16,2026-06-30,2026-08-05,72.0,true
R1007,M1001,ISBN1003,2026-07-16,2026-08-15,2026-08-05,0.0,true
R1008,M1001,ISBN1003,2026-06-16,2026-07-16,2026-08-05,20.0,true
R1001,M1000,ISBN1001,2026-08-05,2026-08-19,NULL,0.0,false
R1002,M1001,ISBN1000,2026-08-05,2026-09-04,NULL,0.0,false
R1010,M1001,ISBN1003,2026-06-16,2026-07-16,NULL,0.0,false
R1000,M1001,ISBN1001,2026-08-05,2026-09-04,NULL,0.0,false
R1005,M1000,ISBN1000,2026-08-05,2026-08-19,NULL,0.0,false
R1006,M1000,ISBN1003,2026-08-05,2026-08-19,2026-08-05,0.0,true
R1003,M1001,ISBN1002,2026-08-05,2026-09-04,NULL,0.0,false
R1004,M1001,ISBN1000,2026-08-05,2026-09-04,2026-08-05,0.0,true
